scenario
I usually give my students a spelling test on Friday's but I didn't today because they wanted to watch a movie instead.
I usually give my students a spelling test on Friday's but I didn't today because they played soccer at recess.
I usually give my students a spelling test on Friday's but I didn't today because they are on spring break
I usually give my students a spelling test on Friday's but I didn't today because they went on a field trip.
"I normally see Dave picking up trash in the park, I didn't today because there were huge groups earlier today and there is a lot of trash to pick up."
"I normally see Dave picking up trash in the park, I didn't today because he got a new piercing tool for trash to help him."
"I normally see Dave picking up trash in the park, I didn't today because he is working just in front of the park cleaning on the highway median."
"I normally see Dave picking up trash in the park, I didn't today because the park is closed due to quarantine and no one is allowed in."
"I usually fight with my sister a lot, but I didn't today because she bought me an ice cream cone"
"I usually fight with my sister a lot, but I didn't today because she tattled on me"
"I usually fight with my sister a lot, but I didn't today because she stood up for me when a bully threatened me"
"I usually fight with my sister a lot, but I didn't today because she hid my favorite toy"
I used to host my sister for Thanksgiving dinner but I don't anymore because she follows a gluten-free diet now
I used to host my sister for Thanksgiving dinner but I don't anymore because she prefers chicken to turkey
I used to host my sister for Thanksgiving dinner but I don't anymore because she now lives halfway around the world
I used to host my sister for Thanksgiving dinner but I don't anymore because she goes to her husband's house for Thanksgiving now
I usually comfort my girlfriend when she feels sad but I didn't today because her mom died over a week ago and won't get over it.
I usually comfort my girlfriend when she feels sad but I didn't today because she said my silly jokes are inappropriate.
I usually comfort my girlfriend when she feels sad but I didn't today because she wanted to be left alone to have time to herself.
I usually comfort my girlfriend when she feels sad but I didn't today because she broke up with me and never wanted to see me again.
I usually take my family to the pumpkin patch to get a pumpkin in October but I didn't take my husband last year because he doesn't like hay
I usually take my family tothe pumpkin patch to get a pumpkin in October but I didn't take my husband last year because he spit on the ground
I usually take my family tothe pumpkin patch to get a pumpkin in October but I didn't take my husband last year because he was out of town on a work trip
I usually take my family tothe pumpkin patch to get a pumpkin in October but I didn't take my husband last year because he had to work and couldn't come with us
"I am justified in expecting a lecture from my doctor, since I have been eating a lot of potato chips."
"I am justified in expecting praise from my doctor, since I have been eating a lot of fruits and vegetables."
"I am justified in expecting a lecture from my doctor, since I have been eating a lot of fruits and vegetables."
"I am justified in expecting a lecture from my mailman, since I have been eating a lot of potato chips."
"I usually buy my wife jewelry for Christmas, but I didn't this year because  she wanted a new coffeemaker"
"I usually buy my wife jewelry for Christmas, but I didn't this year because  she wanted to invite our friends over for Christmas Eve dinner"
"I usually buy my wife jewelry for Christmas, but I didn't this year because  she wanted me to make a big charitable donation in lieu of her gift"
"I usually buy my wife jewelry for Christmas, but I didn't this year because  she wanted a pizza for dinner"
"I usually start up a conversation with my neighbor when I pass him on the street, but I didn't today because he left his dog at home."
"I usually start up a conversation with my neighbor when I pass him on the street, but I didn't today because he lost his voice at the football game."
"I usually start up a conversation with my neighbor when I pass him on the street, but I didn't today because he was on the phone with his wife."
"I usually start up a conversation with my neighbor when I pass him on the street, but I didn't today because he was wearing a baseball cap."
I deserve to be given a limousine by the car dealer because I paid him for a very nice limo.
I deserve to be guaranteed a comfortable ride in my limo by the car dealer because I paid him for a very nice limo.
I deserve to be given zoo tickets by the car dealer because I paid him for a very nice limo.
I deserve to be given a museum ticket by the car dealer because I paid him for a very nice limo.
"I used to answer the phone whenever my brother called, but I stopped because he said he had an emergency."
"I used to answer the phone whenever my brother called, but I stopped because he switched phone plans to have unlimited data."
"I used to answer the phone whenever my brother called, but I stopped because he kept asking for money."
"I used to answer the phone whenever my brother called, but I stopped because his calls were always pranks."
"I typically go on walks with Felix and his dog, but I didn't go this time because He makes me pick up his dog poop every time."
"I typically go on walks with Felix and his dog, but I didn't go this time because He gets a lot of attention from the ladies."
"I typically go on walks with Felix and his dog, but I didn't go this time because He gives his dog lots of treats."
"I typically go on walks with Felix and his dog, but I didn't go this time because He never puts his dog on a leash, and it runs away."
"I usually tickle Joe when I see him, but I didn't this time because he was with his sister."
"I usually tickle Joe when I see him, but I didn't this time because he was sound asleep."
